kind,method,toll,pct,value,ci_lo,ci_hi,n,mode
selfishness_gap_vs_so,mixed|d0000e0600h0400,0.28,6.5176601972822095,-0.10512377108943144,-0.12050800975578572,-0.09069689291829514,24,paired
selfishness_gap,mixed|d0000e0600h0400,0.5,108.4862662981015,1.084862662981015,1.0743100960522118,1.0965627168767336,28,paired
selfishness_gap_vs_so,mixed|d0000e0600h0400,0.5,8.477121435695416,-0.1363825156471206,-0.15428913792459306,-0.11920467192403116,28,paired
toll_gap,mixed|d0000e0600h0400,0.17,-3.3819647363961125,-0.005568213783055198,-0.026814758709543956,0.016512712593970264,20,paired
toll_gap,mixed|d0000e0600h0400,0.28,-35.29762831623398,-0.05811554993002542,-0.07642597629901528,-0.0400846647515855,18,paired
toll_gap,mixed|d0000e0600h0400,0.5,-14.45948087065482,-0.02380671797471191,-0.04496414746913538,-0.003186480454757176,20,paired
toll_direct,mixed|d0000e0600h0400,0.17,-0.2651171200619304,0.004705109159573118,-0.015849291526417314,0.025028522611395917,31,paired
toll_direct,mixed|d0000e0600h0400,0.28,-2.680297246449849,0.04756799983985903,0.03189298068702013,0.06254063408091773,31,paired
toll_direct,mixed|d0000e0600h0400,0.5,-1.8795091495699856,0.0333561850440947,0.015524515127523928,0.050002623327091864,29,paired
second_best_toll,mixed|d0000e0600h0400,0.28,-2.680297246449849,0.04756799983985903,0.03202089556173541,0.062131161723785196,31,paired
selfishness_gap,mixed|d0000e0700h0300,0.0,111.78079688635351,1.1178079688635352,1.1067146682715188,1.1291740323723851,20,paired
selfishness_gap_vs_so,mixed|d0000e0700h0300,0.0,11.764561119710853,-0.18941933733518743,-0.20611664500908283,-0.17254939661341537,20,paired
selfishness_gap,mixed|d0000e0700h0300,0.17,111.59904540500338,1.1159904540500338,1.0994138812066463,1.1340022800847764,21,paired
selfishness_gap_vs_so,mixed|d0000e0700h0300,0.17,11.603995466764713,-0.18726405439805266,-0.21567770344760542,-0.1600766881990435,21,paired
selfishness_gap,mixed|d0000e0700h0300,0.28,110.12789980495283,1.1012789980495283,1.0893558777770034,1.1128677472848234,26,paired
selfishness_gap_vs_so,mixed|d0000e0700h0300,0.28,10.138504057647095,-0.16352460046778605,-0.1816708068673505,-0.1455668699885601,26,paired
selfishness_gap,mixed|d0000e0700h0300,0.5,108.00073597591535,1.0800073597591535,1.0684424527018423,1.092262286209271,28,paired
